epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1517.22,0.63354,0.54595,1.61714,0.96669,0.9,0.96082,0.84162,0.62954,0.6351,1.9112,0.0008714,0.0008714,0.0008714
59,1545.56,0.62296,0.49924,1.49761,0.96528,0.9,0.95488,0.83621,0.61256,0.63576,2.05635,0.0008516,0.0008516,0.0008516
60,1572.68,0.5911,0.54268,1.61871,0.95318,0.91,0.96601,0.83704,0.61658,0.60988,2.73728,0.0008318,0.0008318,0.0008318
61,1601.49,0.64581,0.52074,1.74465,0.95169,0.92,0.96925,0.85855,0.58853,0.58938,2.71503,0.000812,0.000812,0.000812
62,1628.11,0.6008,0.58546,1.70866,0.96841,0.91978,0.96728,0.84283,0.60572,0.59339,2.63788,0.0007922,0.0007922,0.0007922
63,1654.8,0.62211,0.52175,1.60961,0.95946,0.91,0.96217,0.83039,0.61993,0.62663,2.45381,0.0007724,0.0007724,0.0007724
64,1681.61,0.59071,0.52044,1.81867,0.94393,0.93,0.95038,0.84029,0.58699,0.61519,2.06064,0.0007526,0.0007526,0.0007526
65,1709.49,0.61154,0.51884,1.76341,0.92885,0.9139,0.94752,0.84879,0.59325,0.61643,2.01585,0.0007328,0.0007328,0.0007328
66,1736.62,0.58414,0.53006,1.72262,0.9435,0.89,0.9521,0.84499,0.60224,0.6116,1.98987,0.000713,0.000713,0.000713
67,1767.57,0.63211,0.51267,1.61882,0.91138,0.93,0.95654,0.83882,0.60019,0.59901,1.99439,0.0006932,0.0006932,0.0006932
68,1795.45,0.66646,0.52581,1.61181,0.97763,0.87404,0.95531,0.8289,0.61776,0.59849,2.25359,0.0006734,0.0006734,0.0006734
69,1823.72,0.58101,0.48401,1.65779,0.97758,0.87195,0.95801,0.84166,0.61784,0.59533,2.31735,0.0006536,0.0006536,0.0006536
70,1852.79,0.60645,0.51472,1.80076,0.93937,0.94,0.96536,0.85346,0.61214,0.58412,2.31534,0.0006338,0.0006338,0.0006338
71,1881.79,0.61451,0.50415,1.55491,0.94022,0.94375,0.97664,0.86304,0.61416,0.57098,2.33391,0.000614,0.000614,0.000614
72,1911.04,0.6598,0.50423,1.61079,0.941,0.95702,0.97854,0.8556,0.58376,0.55048,2.46341,0.0005942,0.0005942,0.0005942
73,1939.01,0.57711,0.59175,1.83103,0.92823,0.97,0.97748,0.8715,0.55549,0.53843,2.43347,0.0005744,0.0005744,0.0005744
74,1967.33,0.54195,0.471,1.57251,0.92345,0.96507,0.97226,0.86256,0.56291,0.54629,2.36215,0.0005546,0.0005546,0.0005546
75,1995.34,0.58296,0.47227,1.67818,0.92566,0.95,0.96989,0.8677,0.55644,0.5457,2.29067,0.0005348,0.0005348,0.0005348
76,2024.81,0.57251,0.48884,1.60624,0.94042,0.94703,0.97377,0.85634,0.56097,0.55895,2.12563,0.000515,0.000515,0.000515
77,2054.51,0.57937,0.48462,1.53755,0.93994,0.93905,0.97359,0.86096,0.55941,0.56078,2.09847,0.0004952,0.0004952,0.0004952
78,2085.96,0.57574,0.47195,1.60984,0.93045,0.93646,0.97251,0.87438,0.55259,0.56038,2.05548,0.0004754,0.0004754,0.0004754
79,2114.3,0.54692,0.46957,1.65247,0.93692,0.92,0.96891,0.87637,0.54404,0.56394,2.06016,0.0004556,0.0004556,0.0004556
80,2142,0.52882,0.4647,1.58421,0.92826,0.93,0.96226,0.87198,0.53419,0.57249,2.10108,0.0004358,0.0004358,0.0004358
81,2170.35,0.56004,0.46706,1.47968,0.9212,0.93531,0.96149,0.86819,0.53607,0.56126,2.13596,0.000416,0.000416,0.000416
82,2200.01,0.53934,0.441,1.54142,0.9187,0.94,0.95949,0.85964,0.53951,0.55206,2.16705,0.0003962,0.0003962,0.0003962
83,2229.16,0.53278,0.4512,1.4766,0.9218,0.94307,0.96011,0.86544,0.53999,0.55344,2.15606,0.0003764,0.0003764,0.0003764
84,2257.47,0.51189,0.45699,1.74578,0.92188,0.94407,0.96008,0.85999,0.54136,0.55015,2.17921,0.0003566,0.0003566,0.0003566
85,2287.8,0.54111,0.4572,1.50975,0.92226,0.94911,0.95915,0.85489,0.54583,0.54598,2.19947,0.0003368,0.0003368,0.0003368
86,2315.71,0.52949,0.45489,1.64615,0.92237,0.95059,0.95769,0.85405,0.55078,0.54864,2.23547,0.000317,0.000317,0.000317
87,2337.42,0.49036,0.45339,1.64232,0.92254,0.95281,0.95997,0.8575,0.54701,0.55196,2.29566,0.0002972,0.0002972,0.0002972
88,2359.45,0.5417,0.44341,1.51377,0.92488,0.95,0.96821,0.87682,0.52657,0.53752,2.25925,0.0002774,0.0002774,0.0002774
